code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
260230	Bonito	38117	6146	5988	6547	5549	4836	3796	2613	1692	950
260240	Brejão	8987	1506	1387	1587	1339	1139	862	581	378	208
260250	Brejinho	7488	1129	1118	1194	1233	962	831	469	367	185
260260	Brejo da Madre de Deus	51225	8740	8958	9406	8057	5947	4481	2803	1871	962
260270	Buenos Aires	13190	1997	2117	1925	2138	1818	1464	963	544	224
260280	Buíque	58919	11665	10428	10296	8133	6618	5255	3268	2178	1078
260290	Cabo de Santo Agostinho	208944	29244	33108	36093	35539	31041	21422	13496	6452	2549
260300	Cabrobó	34503	6160	6166	6027	5219	4219	3063	1881	1161	607
260310	Cachoeirinha	20501	2921	3169	3380	3378	2585	2210	1314	941	603
260320	Caetés	28904	5186	4825	5096	4631	3154	2566	1702	1141	603
260330	Calçado	11018	1912	1732	1878	1640	1362	1105	685	446	258
260340	Calumbi	5747	870	853	862	888	755	644	419	302	154
260345	Camaragibe	158899	19979	23430	26128	25511	25127	18343	11648	6190	2543
260350	Camocim de São Félix	18900	2645	2854	3241	2829	2512	2091	1368	854	506
260360	Camutanga	8572	1257	1263	1401	1319	1142	969	583	401	237
260370	Canhotinho	24773	3913	3863	4245	3831	3121	2358	1675	1158	609
260380	Capoeiras	20048	3325	3066	3453	3038	2374	1991	1398	928	475
260390	Carnaíba	19609	3008	2892	3142	2861	2600	2169	1474	946	517
260392	Carnaubeira da Penha	13025	2877	2520	2354	1858	1287	901	600	413	215
260400	Carpina	84395	11456	12838	13641	13436	12618	9518	6211	3205	1472
260410	Caruaru	365278	52285	60684	63731	61073	49438	37574	21764	12604	6125
260415	Casinhas	14368	2226	2235	2422	2380	1691	1396	969	640	409
260420	Catende	43340	7464	7446	7389	6709	5405	4191	2640	1402	694
260430	Cedro	11891	1939	1951	2152	1905	1378	1187	676	477	226
260440	Chã de Alegria	13606	2031	2094	2272	2260	1850	1379	924	556	240
260450	Chã Grande	21815	3266	3382	3651	3407	3158	2046	1519	930	456
260460	Condado	26590	4214	4304	4366	3845	3612	2777	1847	1092	533
260470	Correntes	18268	2948	2868	3041	2970	2209	1664	1316	805	447
260480	Cortês	12560	2019	2145	2231	2074	1667	1204	700	362	158
260490	Cumaru	10192	1344	1450	1522	1490	1343	1214	897	594	338
260500	Cupira	24173	3498	3765	4234	3813	3212	2349	1636	1085	581
260510	Custódia	37375	5626	5681	5820	6019	4803	4086	2648	1747	945
260515	Dormentes	19079	3190	3023	3272	2914	2402	1843	1256	805	374
260520	Escada	69292	10296	11192	12031	11675	9493	7247	4190	2178	990
260530	Exu	31766	5570	5102	5144	4757	3724	3105	2081	1484	799
260540	Feira Nova	22247	3244	3341	3609	3408	3012	2358	1664	1052	559
260545	Fernando de Noronha	3101	400	422	515	617	506	436	160	31	14
260550	Ferreiros	12170	1804	1892	1947	1925	1666	1260	880	536	260
260560	Flores	22618	3274	3329	3314	3401	2928	2568	1761	1306	737
260570	Floresta	33184	6016	6039	5884	5054	3873	2801	1710	1197	610
260580	Frei Miguelinho	15546	2065	2107	2342	2485	2016	1748	1232	962	589
260590	Gameleira	31318	4962	5505	6060	5257	3951	2756	1595	884	348
260600	Garanhuns	140577	21722	22900	23225	22305	18494	14089	9507	5617	2718
260610	Glória do Goitá	30701	4588	4577	5184	5003	4191	3081	2087	1336	654
260620	Goiana	80055	11672	12627	13000	12559	11375	8802	5588	3003	1429
260630	Granito	7537	1221	1262	1222	1149	939	708	465	375	196
260640	Gravatá	84699	11587	12779	14345	13482	11884	9208	5976	3557	1881
260650	Iati	19241	3540	3241	3236	2730	2263	1735	1243	846	407
260660	Ibimirim	29412	5231	4976	5266	4637	3256	2756	1702	1093	495
260670	Ibirajuba	7768	1192	1145	1237	1174	959	789	544	451	277
260680	Igarassu	118370	16475	18427	19981	18472	17896	13222	8015	4111	1771
260690	Iguaracy	12247	1847	1713	1728	1870	1540	1514	1018	662	355
260760	Ilha de Itamaracá	26672	3271	4394	4957	4700	3960	2718	1602	771	299
260700	Inajá	23645	5070	4914	4242	3735	2272	1671	953	553	235
260710	Ingazeira	4543	617	657	750	667	584	516	375	254	123
260720	Ipojuca	97669	16901	18351	17936	16157	12830	8328	4220	2077	869
260730	Ipubi	31187	6231	5868	5321	4675	3417	2512	1527	1052	584
260740	Itacuruba	4966	879	956	790	747	600	466	269	171	88
260750	Itaíba	26308	4609	4313	4516	3797	2995	2496	1775	1225	582
260765	Itambé	36471	5797	5780	6117	5986	4835	3592	2339	1335	690
260770	Itapetim	13553	1866	1859	1875	2235	1712	1527	1200	812	467
260775	Itapissuma	26900	3926	4556	4721	4585	3657	2579	1646	867	363
260780	Itaquitinga	17006	2831	2921	2815	2727	2213	1677	1000	575	247
260790	Jaboatão dos Guararapes	706867	93020	107059	116028	112845	104751	81773	54073	26726	10592
260795	Jaqueira	11644	2080	2022	2137	1887	1327	1060	614	363	154
260800	Jataúba	17228	2769	2853	3120	2517	1897	1715	1145	797	415
260805	Jatobá	14850	2275	2354	2303	2335	1852	1566	1161	695	309
260810	João Alfredo	34075	4789	4855	5825	5520	4580	3419	2437	1673	977
260820	Joaquim Nabuco	16011	2780	2755	2795	2590	2057	1532	813	479	210
260825	Jucati	11485	2059	1918	1955	1752	1378	1067	682	457	217
260830	Jupi	14922	2361	2343	2614	2294	1800	1557	1015	626	312
260840	Jurema	15431	2685	2417	2536	2125	1822	1478	1114	780	474
260850	Lagoa de Itaenga	21460	3438	3396	3689	3321	2842	2058	1409	878	429
260845	Lagoa do Carro	18252	2822	2876	2886	2789	2661	1980	1263	686	289
260860	Lagoa do Ouro	13224	2240	2060	2140	1925	1709	1293	950	632	275
260870	Lagoa dos Gatos	16318	2747	2524	2843	2439	1987	1595	1054	735	394
260875	Lagoa Grande	25849	4838	4721	4721	3982	2965	2169	1276	810	367
260880	Lajedo	40589	6286	6627	6623	6381	5087	3896	2791	1891	1007
260890	Limoeiro	56198	6664	7815	8970	9353	8174	6618	4354	2837	1413
260900	Macaparana	25472	3785	3739	4373	3944	3291	2487	2030	1128	695
260910	Machados	16321	2860	2740	2708	2901	2080	1370	849	542	271
260915	Manari	21776	4660	4196	4190	3263	1933	1512	1028	692	302
260920	Maraial	11220	2113	2011	2059	1661	1290	976	636	328	146
260930	Mirandiba	15470	2747	2627	2588	2362	1762	1424	975	621	364
261430	Moreilândia	11270	1849	1823	1805	1788	1383	1106	706	533	277
260940	Moreno	63294	8360	9944	10493	10273	9139	7088	4542	2378	1077
260950	Nazaré da Mata	32573	4350	4853	4843	5056	4708	3824	2767	1515	657
260960	Olinda	393115	47510	55981	59727	61107	58885	48966	33480	18830	8629
260970	Orobó	23935	3466	3384	3954	3734	3005	2656	1823	1179	734
260980	Orocó	15152	2838	2661	2641	2307	1874	1341	750	530	210
260990	Ouricuri	69969	12893	12273	11835	10162	8111	6355	4035	2909	1396
261000	Palmares	63500	9791	10496	11008	10522	8398	6337	3813	2157	978
261010	Palmeirina	7600	1257	1208	1243	1090	914	760	533	387	208
261020	Panelas	26456	4535	4090	4400	3842	3146	2450	1868	1377	748
261030	Paranatama	11566	2005	1827	1858	1650	1438	1211	746	542	289
261040	Parnamirim	22106	3771	3645	3624	3266	2671	2168	1455	1018	488
261050	Passira	28894	3988	4120	4524	4610	3946	3355	2213	1348	790
261060	Paudalho	56929	8961	9458	9894	8905	8019	5593	3409	1894	796
261070	Paulista	334376	41423	48500	52412	52900	49498	39921	29379	14830	5513
261080	Pedra	22668	3778	3711	3729	3313	2840	2381	1462	962	492
261090	Pesqueira	67735	10461	11011	11060	9987	8524	7348	4723	2937	1684
261100	Petrolândia	36901	6764	6644	6108	5879	4438	3275	2076	1201	516
261110	Petrolina	354317	58328	64968	65140	57505	46657	30779	17567	9572	3801
261120	Poção	11305	1890	1874	1866	1510	1312	1264	809	506	274
261130	Pombos	27148	3719	4061	4583	4561	3835	2836	1901	1096	556
261140	Primavera	15101	2422	2580	2688	2453	2025	1380	906	439	208
261150	Quipapá	26175	4712	4304	4618	4120	3099	2299	1563	968	492
261153	Quixaba	6805	1064	1021	1128	1045	855	698	534	315	145
261160	Recife	1653461	189644	230809	253260	268353	244624	204551	145751	78079	38390
261170	Riacho das Almas	20646	2946	2995	3474	3263	2869	2207	1400	986	506
261180	Ribeirão	47616	7156	7657	8140	7688	6541	5018	2993	1670	753
261190	Rio Formoso	23628	3977	4033	4137	3930	3160	2279	1183	640	289
261200	Sairé	9764	1273	1352	1672	1369	1467	1045	746	543	297
261210	Salgadinho	11068	1425	1568	1686	1953	1612	1166	881	537	240
261220	Salgueiro	61249	9923	10377	10011	9791	8170	5833	3669	2255	1220
261230	Saloá	15862	2669	2447	2553	2275	1945	1655	1092	786	440
261240	Sanharó	26890	4424	4800	4865	3839	3306	2525	1652	1013	466
261245	Santa Cruz	15558	2877	2673	2615	2143	1795	1400	927	776	352
261247	Santa Cruz da Baixa Verde	12650	2021	1990	1959	2048	1638	1218	852	626	298
261250	Santa Cruz do Capibaribe	109897	17510	21694	20580	19723	13872	8358	4659	2428	1073
261255	Santa Filomena	14562	2657	2324	2427	2073	1756	1281	961	724	359
261260	Santa Maria da Boa Vista	42100	8122	7625	7229	6328	4882	3627	2322	1367	598
261270	Santa Maria do Cambucá	14223	2279	2156	2402	2172	1789	1390	942	712	381
261280	Santa Terezinha	11865	1961	2001	1854	1832	1355	1200	813	553	296
261290	São Benedito do Sul	16069	2408	2335	2874	3042	2282	1496	899	514	219
261300	São Bento do Una	60042	10399	10021	10414	9189	7104	5591	3904	2301	1119
261310	São Caitano	37368	5965	6042	6647	5892	4756	3599	2200	1469	798
261320	São João	22899	3920	3724	3971	3445	2835	2062	1517	934	491
261330	São Joaquim do Monte	21398	3210	3244	3628	3261	2686	2259	1556	991	563
261340	São José da Coroa Grande	21586	3841	3701	3638	3248	2774	2152	1235	688	309
261350	São José do Belmonte	34021	5135	5251	5443	5221	4242	3572	2525	1712	920
261360	São José do Egito	34110	4811	5006	5423	5328	4364	3745	2624	1810	999
261370	São Lourenço da Mata	114079	15979	17487	19012	19022	16667	12302	7887	4033	1690
261380	São Vicente Ferrer	18085	2838	2778	3283	2744	2268	1795	1273	695	411
261390	Serra Talhada	86915	13288	13911	14367	13968	11818	8810	5393	3546	1814
261400	Serrita	19196	3215	3147	3272	2879	2344	1825	1196	865	453
261410	Sertânia	36050	5390	5584	5676	5899	4677	3832	2492	1641	859
261420	Sirinhaém	46361	8352	8239	8264	7922	6082	3829	2082	1122	469
261440	Solidão	6021	962	898	1009	977	730	642	414	271	118
261450	Surubim	65647	9439	9809	10687	10470	9053	6674	4720	3136	1659
261460	Tabira	28694	4259	4528	4647	4543	3644	2924	2079	1380	690
261470	Tacaimbó	12859	1951	2042	2102	1992	1569	1320	904	628	351
261480	Tacaratu	26106	4782	4436	4349	3988	3077	2337	1580	1032	525
261485	Tamandaré	23623	4089	4099	4252	3810	3001	2178	1244	686	264
261500	Taquaritinga do Norte	29127	4419	4755	5110	4774	3837	2937	1751	1043	501
261510	Terezinha	7198	1203	1094	1245	1096	817	722	526	329	166
261520	Terra Nova	10206	1638	1728	1667	1482	1347	1078	617	427	222
261530	Timbaúba	52802	7666	7780	8591	8176	7262	5673	4088	2345	1221
261540	Toritama	46164	8125	9607	8811	8297	5482	3064	1589	791	398
261550	Tracunhaém	13813	2263	2207	2130	2234	2005	1384	902	486	202
261560	Trindade	30816	5940	5740	5514	4670	3336	2555	1544	1044	473
261570	Triunfo	15243	2007	2047	2348	2393	1956	1859	1216	910	507
261580	Tupanatinga	27551	5495	4856	4900	3908	2982	2411	1529	1009	461
261590	Tuparetama	8212	1090	1078	1179	1281	1065	1060	658	521	280
261600	Venturosa	18661	3067	3124	3020	2901	2297	1875	1217	782	378
261610	Verdejante	9553	1573	1470	1596	1396	1136	972	692	488	230
261618	Vertente do Lério	7571	1094	966	1273	1215	995	828	618	365	217
261620	Vertentes	20954	3295	3385	3396	3508	2714	1920	1297	905	534
261630	Vicência	32772	4853	5062	5983	5977	4377	3218	1973	947	382
261640	Vitória de Santo Antão	139583	19194	21007	22828	22858	20062	15156	9942	5735	2801
261650	Xexéu	14757	2696	2444	2713	2222	1807	1348	841	473	213
270010	Água Branca	20230	3563	3618	3512	2883	2267	1870	1181	906	430
270020	Anadia	17526	2777	2978	2979	2622	2284	1747	1160	650	329
270030	Arapiraca	233047	33415	39741	41698	36816	30611	23562	15000	8580	3624
270040	Atalaia	47365	8571	9109	8622	7005	5606	3964	2622	1319	547
270050	Barra de Santo Antônio	16068	2782	3029	3050	2395	2021	1362	904	379	146
270060	Barra de São Miguel	8378	1381	1549	1563	1313	1169	745	394	188	76
270070	Batalha	18338	2774	3259	3309	2889	2186	1840	1117	673	291
270080	Belém	4284	588	638	699	640	562	457	343	250	107
270090	Belo Monte	6710	1014	1118	1275	1036	785	684	415	250	133
270100	Boca da Mata	27356	4283	4816	4853	4040	3497	2570	1874	990	433
270110	Branquinha	10460	1906	2010	1848	1539	1220	854	650	318	115
270120	Cacimbinhas	10889	1767	1791	1899	1603	1256	1125	727	480	241
270130	Cajueiro	21331	3695	4238	3847	3407	2362	1741	1142	627	272
270135	Campestre	6954	1248	1255	1311	1027	889	584	345	194	101
270140	Campo Alegre	57537	9993	11783	10922	9263	6498	4362	2812	1437	467
270150	Campo Grande	9567	1531	1624	1754	1428	1088	928	653	372	189
270160	Canapi	17719	3393	3236	3209	2307	1964	1666	981	679	284
270170	Capela	16979	2968	3259	2970	2422	2047	1462	998	589	264
270180	Carneiros	9159	1879	1809	1717	1250	946	712	418	277	151
270190	Chã Preta	7311	1347	1297	1261	1042	925	662	433	246	98
270200	Coité do Nóia	10643	1587	1760	1732	1471	1256	1238	821	533	245
270210	Colônia Leopoldina	21818	3948	4194	4022	3195	2645	1700	1181	634	299
270220	Coqueiro Seco	5864	906	1010	997	914	778	593	390	181	95
270230	Coruripe	57294	9499	10731	10268	9051	7227	5275	3047	1568	628
270235	Craíbas	24309	3964	4188	4335	3565	2823	2466	1648	941	379
270240	Delmiro Gouveia	52262	8262	9107	8899	8094	6589	5139	3274	2013	885
270250	Dois Riachos	11067	1776	1893	2042	1574	1382	1061	707	434	198
270255	Estrela de Alagoas	18255	2687	2729	2980	2680	2340	1899	1422	1043	475
270260	Feira Grande	22178	3633	3805	3946	3328	2628	2099	1425	906	408
270270	Feliz Deserto	4779	782	801	960	692	574	456	295	146	73
270280	Flexeiras	12807	2223	2351	2327	1685	1572	1210	783	463	193
270290	Girau do Ponciano	41237	6706	7456	7643	6281	4785	3776	2504	1458	628
270300	Ibateguara	15627	2776	2781	2914	2131	1795	1408	989	550	283
270310	Igaci	25613	3922	4061	4077	3928	3244	2684	1920	1241	536
270320	Igreja Nova	24586	3868	4131	4402	3980	3027	2250	1568	869	491
270330	Inhapi	18392	3438	3317	3341	2597	1922	1604	1055	729	389
270340	Jacaré dos Homens	5219	862	889	899	729	647	539	347	210	97
270350	Jacuípe	7006	1248	1318	1401	1052	855	563	316	179	74
270360	Japaratinga	8403	1527	1689	1468	1188	1008	751	476	212	84
270370	Jaramataia	5761	917	1055	1020	886	679	584	321	211	88
270375	Jequiá da Praia	11536	1910	2094	2195	1747	1490	986	600	358	156
270380	Joaquim Gomes	24081	4703	4779	4144	3363	2869	2025	1334	606	258
270390	Jundiá	4137	666	691	715	602	533	445	262	155	68
270400	Junqueiro	24722	3685	4204	4397	3839	3097	2421	1629	980	470
270410	Lagoa da Canoa	17771	2586	3025	3041	2599	2167	1833	1272	889	359
270420	Limoeiro de Anadia	28771	4128	4629	5130	4698	3558	2921	1913	1242	552
270430	Maceió	1025360	132190	170684	175102	162610	147500	112936	73357	35928	15053
270440	Major Isidoro	19864	3091	3311	3532	3004	2389	2044	1283	827	383
270490	Mar Vermelho	3494	487	495	557	465	518	394	289	183	106
270450	Maragogi	33032	5868	6271	6284	4970	4149	2791	1566	822	311
270460	Maravilha	9004	1467	1428	1604	1285	1025	959	626	414	196
270470	Marechal Deodoro	52380	8005	9165	9367	8076	7205	5265	3287	1439	571
270480	Maribondo	13193	1911	2171	2197	1970	1733	1293	970	638	310
270500	Mata Grande	25207	4706	4574	4491	3528	2706	2249	1459	997	497
270510	Matriz de Camaragibe	24634	4227	4521	4464	3583	3131	2196	1469	729	314
270520	Messias	18031	3274	3566	3304	2678	2196	1408	921	471	213
270530	Minador do Negrão	5322	746	813	889	790	734	560	413	275	102
270540	Monteirópolis	7165	1303	1293	1365	994	796	606	413	260	135
270550	Murici	28333	5005	5531	5189	4320	3318	2333	1485	791	361
270560	Novo Lino	12764	2336	2420	2306	2003	1501	1066	624	349	159
270570	Olho d'Água das Flores	21738	3484	3794	3927	3207	2676	2062	1323	831	434
270580	Olho d'Água do Casado	9441	1718	1766	1831	1385	975	833	471	326	136
270590	Olho d'Água Grande	5128	954	904	881	728	580	431	295	237	118
270600	Olivença	11657	1839	1884	2244	1722	1380	1080	750	494	264
270610	Ouro Branco	11535	1945	1987	1975	1620	1359	1109	740	524	276
270620	Palestina	5037	879	846	937	636	599	490	303	224	123
270630	Palmeira dos Índios	73337	10320	11857	11668	11274	9706	7991	5341	3508	1672
270640	Pão de Açúcar	24351	4116	3890	4602	3501	2910	2333	1572	930	497
270642	Pariconha	10539	1836	1903	1771	1457	1255	962	607	515	233
270644	Paripueira	13332	2137	2396	2461	2011	1877	1189	743	368	150
270650	Passo de Camaragibe	15258	2881	2977	2736	2260	1873	1165	785	386	195
270660	Paulo Jacinto	7560	1073	1264	1222	1187	996	728	574	345	171
270670	Penedo	63846	9604	10633	11317	10255	8164	6371	4180	2175	1147
270680	Piaçabuçu	17848	2914	3114	3204	2763	2187	1680	1096	583	307
270690	Pilar	35212	5793	6385	5883	5443	4583	3256	2240	1147	482
270700	Pindoba	2905	426	488	495	422	421	298	219	74	62
270710	Piranhas	25183	4622	4706	4880	3594	2800	2066	1359	833	323
270720	Poço das Trincheiras	14418	2770	2669	2806	1974	1560	1317	716	415	191
270730	Porto Calvo	27249	4650	5062	5117	3929	3481	2309	1468	822	411
270740	Porto de Pedras	7701	1286	1381	1278	1153	1026	779	468	217	113
270750	Porto Real do Colégio	20112	3175	3392	3583	3125	2501	1954	1283	731	368
270760	Quebrangulo	11248	1691	1831	2048	1711	1485	1075	752	449	206
270770	Rio Largo	75394	11178	13361	13981	11204	10234	7559	4638	2239	1000
270780	Roteiro	6649	1420	1451	1186	938	690	419	314	175	56
270790	Santa Luzia do Norte	7320	1117	1280	1291	1055	1027	664	493	275	118
270800	Santana do Ipanema	47819	8019	8698	8799	7104	5682	4339	2671	1671	836
270810	Santana do Mundaú	10687	1805	1813	1969	1675	1307	953	667	338	160
270820	São Brás	6969	1085	1117	1175	961	925	751	505	296	154
270830	São José da Laje	23996	4105	4430	4577	3333	2839	2032	1487	791	402
270840	São José da Tapera	32405	6399	6042	6395	4412	3299	2616	1627	1087	528
270850	São Luís do Quitunde	34692	6516	7110	6621	4997	4069	2627	1618	799	335
270860	São Miguel dos Campos	61797	9844	11861	11026	10102	7783	5411	3402	1668	700
270870	São Miguel dos Milagres	8013	1351	1452	1322	1189	1113	736	495	239	116
270880	São Sebastião	34290	5839	6181	6213	5199	4018	3040	2076	1196	528
270890	Satuba	13936	1928	2433	2576	2250	1955	1447	785	399	163
270895	Senador Rui Palmeira	13921	2709	2647	2652	1835	1430	1176	693	540	239
270900	Tanque d'Arca	6138	882	933	1050	990	815	598	428	296	146
270910	Taquarana	20072	3088	3146	3335	2985	2521	2092	1524	985	396
270915	Teotônio Vilela	44372	8068	8407	8231	6499	5172	3759	2462	1296	478
270920	Traipu	27826	5004	5061	4973	3849	3022	2607	1670	1108	532
270930	União dos Palmares	65790	10781	11732	11865	9956	8103	5973	4067	2274	1039
270940	Viçosa	25693	4042	4426	4501	3775	3336	2553	1749	874	437
280010	Amparo de São Francisco	2380	384	386	411	385	302	232	140	89	51
280020	Aquidabã	21681	3261	3282	3726	3339	2905	2212	1543	932	481
280030	Aracaju	664908	82544	100626	107896	120115	98664	72922	47854	24138	10149
280040	Arauá	9947	1571	1527	1766	1554	1334	1054	644	348	149
280050	Areia Branca	18686	2984	3033	3472	2953	2540	1828	1047	548	281
280060	Barra dos Coqueiros	30930	4729	5025	5575	5056	4331	3286	1754	816	358
280067	Boquim	26899	3940	4054	4513	4054	3724	3128	1852	1158	476
280070	Brejo Grande	8353	1700	1448	1596	1275	957	640	417	199	121
280100	Campo do Brito	18218	2711	2736	3130	2805	2404	1932	1318	774	408
280110	Canhoba	4006	675	635	699	604	506	427	232	156	72
280120	Canindé de São Francisco	30402	5719	5690	6054	4632	3719	2393	1214	703	278
280130	Capela	34514	5761	5784	6180	5774	4263	3061	2006	1121	564
280140	Carira	22239	3410	3478	3792	3479	2820	2295	1559	956	450
280150	Carmópolis	16937	2966	3158	3458	2793	2012	1369	770	294	117
280160	Cedro de São João	5913	878	920	892	911	754	728	399	291	140
280170	Cristinápolis	18029	3257	3181	3401	2788	2271	1557	876	496	202
280190	Cumbe	3998	523	591	680	612	589	449	262	198	94
280200	Divina Pastora	5215	909	886	944	783	642	510	317	155	69
280210	Estância	69556	10444	10776	12411	11558	9207	7215	4544	2308	1093
280220	Feira Nova	5601	844	895	977	842	745	598	383	217	100
280230	Frei Paulo	15556	2294	2338	2938	2508	2046	1536	994	608	294
280240	Gararu	11601	1821	1781	1951	1805	1610	1281	701	448	203
280250	General Maynard	3384	502	530	625	580	456	328	207	109	47
280260	Gracho Cardoso	5824	833	816	932	883	810	650	469	281	150
280270	Ilha das Flores	8521	1604	1414	1526	1239	1054	787	452	275	170
280280	Indiaroba	18149	3594	3321	3432	2766	2073	1439	850	453	221
280290	Itabaiana	96142	13784	15292	17422	16091	13053	9738	6024	3289	1449
280300	Itabaianinha	42166	7272	7153	7441	6727	5221	3875	2494	1353	630
280310	Itabi	4886	618	626	764	682	708	663	446	264	115
280320	Itaporanga d'Ajuda	34709	5765	5668	6349	5655	4694	3227	1790	1079	482
280330	Japaratuba	18907	2755	2865	3486	3093	2465	2056	1215	670	302
280340	Japoatã	13429	2346	2302	2266	2072	1718	1306	734	477	208
280350	Lagarto	105221	14823	15935	18857	16890	14029	11421	7217	4108	1941
280360	Laranjeiras	30080	4958	5320	5615	5223	3861	2659	1448	727	269
280370	Macambira	6961	1014	996	1167	1043	924	767	535	337	178
280380	Malhada dos Bois	3699	646	595	643	578	508	383	180	111	55
280390	Malhador	12653	1921	1873	2177	2009	1746	1342	914	468	203
280400	Maruim	17271	2978	3007	3045	2842	2272	1597	898	453	179
280410	Moita Bonita	11348	1480	1479	1877	1791	1660	1228	904	611	318
280420	Monte Alegre de Sergipe	15175	2679	2622	2691	2355	1932	1455	806	452	183
280430	Muribeca	7639	1090	1126	1386	1309	1072	773	500	263	120
280440	Neópolis	18703	2895	2849	3276	2912	2445	1993	1274	698	361
280445	Nossa Senhora Aparecida	8809	1175	1201	1507	1363	1356	976	645	416	170
280450	Nossa Senhora da Glória	37324	5591	6089	6801	6310	4785	3780	2188	1255	525
280460	Nossa Senhora das Dores	26795	4089	4176	4676	4328	3512	2709	1821	1011	473
280470	Nossa Senhora de Lourdes	6496	1004	943	1143	974	828	763	459	268	114
280480	Nossa Senhora do Socorro	185706	28546	31345	36410	29846	24119	19762	10283	4085	1310
280490	Pacatuba	14540	2588	2399	2677	2412	1742	1215	822	455	230
280500	Pedra Mole	3285	467	452	564	563	456	352	245	121	65
280510	Pedrinhas	9665	1522	1520	1763	1489	1252	1024	604	335	156
280520	Pinhão	6627	939	940	1133	1016	857	748	524	336	134
280530	Pirambu	9359	1641	1619	1679	1477	1134	890	522	267	130
280540	Poço Redondo	35122	6645	6246	6948	5275	3985	2896	1672	1056	399
280550	Poço Verde	23867	3276	3394	4171	3575	3143	2663	1828	1241	576
280560	Porto da Folha	28693	4875	4602	5240	4552	3651	2634	1660	1002	477
280570	Propriá	29692	4382	4636	5183	4892	3699	3472	1914	990	524
280580	Riachão do Dantas	19809	3057	2995	3662	3076	2646	2025	1181	781	386
280590	Riachuelo	10284	1763	1835	1842	1711	1322	903	517	275	116
280600	Ribeirópolis	18773	2449	2621	3240	3082	2625	2086	1340	892	438
280610	Rosário do Catete	11008	1891	1941	1971	1828	1468	1028	544	240	97
280620	Salgado	20025	2936	2914	3580	3134	2947	2132	1250	780	352
280630	Santa Luzia do Itanhy	14121	2755	2446	2648	2149	1655	1180	758	374	156
280650	Santa Rosa de Lima	3923	639	644	690	564	522	374	239	163	88
280640	Santana do São Francisco	7844	1383	1306	1447	1317	1030	657	375	218	111
280660	Santo Amaro das Brotas	12151	2069	1935	2024	1937	1585	1223	774	399	205
280670	São Cristóvão	91093	14078	14899	16478	15338	12068	9180	5663	2400	989
280680	São Domingos	11207	1739	1653	1915	1702	1579	1096	817	488	218
280690	São Francisco	3781	553	605	661	571	514	429	246	138	64
280700	São Miguel do Aleixo	3947	518	586	731	638	534	405	283	169	83
280710	Simão Dias	40606	5521	5959	7305	6608	5395	4498	2657	1749	914
280720	Siriri	8970	1635	1522	1568	1322	1099	821	533	316	154
280730	Telha	3249	497	498	645	505	459	318	178	100	49
280740	Tobias Barreto	52530	7366	8002	9507	8371	6867	5670	3513	2188	1046
280750	Tomar do Geru	13535	2092	2040	2559	2220	1863	1347	760	446	208
280760	Umbaúba	25550	4242	4329	4630	4228	3228	2378	1482	725	308
290010	Abaíra	8710	886	1024	1072	1288	1175	1162	1035	627	441
290020	Abaré	20347	3544	3667	3559	3125	2474	1763	1102	742	371
290030	Acajutiba	15187	2530	2495	2485	2120	1927	1522	1055	648	405
290035	Adustina	17126	2301	2592	2977	2748	2219	1953	1170	782	384
290040	Água Fria	17033	2323	2400	2980	2835	2185	1690	1181	948	491
290060	Aiquara	4416	609	612	629	729	562	489	429	218	139
290070	Alagoinhas	152327	18915	22544	24535	26057	23170	17371	10647	5967	3121
290080	Alcobaça	22490	3809	3742	3927	3287	2812	2210	1550	794	359
290090	Almadina	5366	690	673	804	809	684	630	553	336	187
290100	Amargosa	37441	4805	5704	6224	5829	5224	4033	2739	1671	1212
290110	Amélia Rodrigues	25048	3518	3927	4036	3972	3666	2737	1785	960	447
290115	América Dourada	16090	2802	2646	2699	2199	2049	1639	1075	641	340
290120	Anagé	21607	2727	2797	2982	3055	2959	2632	2088	1516	851
290130	Andaraí	13132	2108	2185	2380	2069	1553	1217	846	528	246
290135	Andorinha	14503	1947	2150	2557	2443	2015	1555	878	622	336
290140	Angical	13938	1932	2004	2274	2316	1796	1479	1056	730	351
290150	Anguera	11297	1379	1566	1681	1912	1698	1227	823	637	374
290160	Antas	19479	2182	2652	3182	3305	2729	2296	1409	1104	620
290170	Antônio Cardoso	11677	1778	1789	1973	1935	1468	1174	702	528	330
290180	Antônio Gonçalves	11878	1787	1793	1899	1812	1577	1238	890	565	317
290190	Aporá	17788	2670	2735	3067	2558	2285	1874	1287	848	464
290195	Apuarema	7302	1096	1052	1223	1192	920	727	582	335	175
290205	Araças	12208	2035	2095	2295	2027	1550	1039	681	326	160
290200	Aracatu	13045	1630	1782	1885	2047	1720	1589	1178	779	435
290210	Araci	54648	9077	8998	9873	8080	6513	5227	3334	2441	1105
290220	Aramari	11461	1459	1698	1984	1986	1733	1171	746	449	235
290225	Arataca	10961	2128	1891	1828	1573	1331	961	688	386	175
290230	Aratuípe	8837	1260	1349	1635	1489	1228	868	574	289	145
290240	Aurelino Leal	11299	1808	1713	1839	1891	1421	1148	775	452	252
290250	Baianópolis	13929	2269	2167	2206	2226	1787	1374	949	616	335
290260	Baixa Grande	20449	3263	3143	3101	2909	2635	2161	1596	1053	588
290265	Banzaê	13240	2096	2064	2274	2025	1668	1344	813	640	316
