code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
130050	Barreirinha	32483	8892	6627	5901	3910	2889	2017	1224	655	368
130060	Benjamin Constant	43935	11551	9922	7719	5847	3767	2604	1405	746	374
130063	Beruri	20093	5539	4277	3384	2528	1780	1308	737	367	173
130068	Boa Vista do Ramos	19626	4773	4025	3871	2576	1898	1255	728	333	167
130070	Boca do Acre	34635	7305	6447	6223	5160	4031	2602	1585	889	393
130080	Borba	41748	10080	8056	7912	6046	4169	2556	1575	864	490
130083	Caapiranga	13283	3094	2600	2507	1932	1431	821	532	266	100
130090	Canutama	15807	2927	2564	2906	2526	2116	1385	826	416	141
130100	Carauari	28508	6837	5692	5416	3950	2764	1902	1103	590	254
130110	Careiro	38348	7977	6890	7169	5643	4723	2945	1789	864	348
130115	Careiro da Várzea	30846	5856	5230	5389	4619	4142	2951	1526	811	322
130120	Coari	85910	18462	17815	17090	13399	8674	4996	3176	1585	713
130130	Codajás	29168	6184	5637	5795	4863	3070	1884	1023	495	217
130140	Eirunepé	35700	8924	7327	6430	5053	3376	2231	1377	695	287
130150	Envira	20393	5111	4272	3885	2898	1913	1157	623	342	192
130160	Fonte Boa	17005	4275	3589	3003	2282	1571	1016	692	395	182
130165	Guajará	16937	4124	3468	3201	2500	1603	1153	515	265	108
130170	Humaitá	56144	10854	10300	11070	9007	6510	4288	2451	1191	473
130180	Ipixuna	30436	8651	6250	4994	4611	2618	1770	892	473	177
130185	Iranduba	49011	10522	9487	8314	6692	5868	3968	2431	1208	521
130190	Itacoatiara	102701	21756	18973	18316	14876	12019	7956	5030	2582	1193
130195	Itamarati	7814	2001	1536	1511	1160	745	452	242	134	33
130200	Itapiranga	9230	1938	1706	1683	1315	1065	715	449	253	106
130210	Japurá	2251	570	518	410	312	227	119	51	28	16
130220	Juruá	15106	3846	3337	2906	2102	1397	781	433	214	90
130230	Jutaí	13886	4073	2866	2370	1731	1140	806	490	291	119
130240	Lábrea	46882	10572	9186	8591	7161	4806	3243	1959	949	415
130250	Manacapuru	98502	21099	18964	18317	14578	10775	7039	4310	2305	1115
130255	Manaquiri	33049	7605	6579	6075	4915	3350	2474	1213	608	230
130260	Manaus	2219580	355277	395462	405722	377118	303661	197099	115258	49724	20259
